Gender,Age,Region,What is the highest level of education you have completed?,What is your current relationship status?,What's your main occupation?,What is your current household income?,In which social class would you consider yourself? ,How often do you smoke cigarettes?,Do you pay back the entirety of your credit card debt every month?
Female,33,West Midlands,Vocational/Technical college,Living with partner,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Working class,Less than once a month,No
Female,37,East of England,University,Married,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Working class,Never,No
Female,45,West Midlands,Vocational/Technical college,Married,Skilled manual worker,"£70,000 - £99,999",Middle class,Never,No
Female,35,North West,Post-graduate,Single,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,No
Female,52,South East,University,Married,Homemaker,"£10,000 - £16,999",Underclass,Never,No
Female,54,West Midlands,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Female,33,West Midlands,Post-graduate,Living with partner,Skilled manual worker,"£55,000 - £69,999",Working class,Never,I don't have a credit card
Female,51,Wales,Upper Secondary School,Married,Semi-skilled manual worker,Prefer not to say,Middle class,Never,No
Female,50,South West,Upper Secondary School,Married,Skilled manual worker,"£17,000 - £34,999",Lower middle class,Never,No
Female,45,East Midlands,University,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Working class,Never,No
Male,45,Yorkshire and The Humber,Lower Secondary School,Single,Unemployed,"£0 - £9,999",Underclass,4+ times a day,I don't have a credit card
Female,53,Yorkshire and The Humber,University,Married,Homemaker,"£10,000 - £16,999",Working class,Never,No
Female,44,West Midlands,Lower Secondary School,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,I don't have a credit card
Male,52,South East,University,Single,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Lower middle class,Never,Yes
Male,28,Yorkshire and The Humber,Lower Secondary School,Married,Skilled manual worker,"£35,000 - £54,999",Working class,4+ times a day,No
Male,48,Scotland,Lower Secondary School,In a relationship,Unemployed,"£0 - £9,999",Lower middle class,Never,Yes
Female,54,South West,University,Separated,Unemployed,"£0 - £9,999",Working class,4+ times a day,No
Male,54,North West,Upper Secondary School,Divorced,Unemployed,"£10,000 - £16,999",Underclass,4+ times a day,I don't have a credit card
